Date,Temp,Temp Min,Temp Max,Precipitation,Type of Precip,Conditions,Description
2022-05-11,14.7,11.7,17.5,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-12,16.8,10.2,21.7,0.0,,Clear,Clear conditions throughout the day.
2022-05-13,18.2,13.1,21.0,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-14,19.9,15.2,24.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-15,18.4,15.0,22.6,0.044,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2022-05-16,18.5,15.9,20.4,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-17,19.6,14.0,22.5,0.0,,Clear,Clear conditions throughout the day.
2022-05-18,16.6,10.2,23.4,9.637,['rain'],"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
2022-05-19,12.9,9.4,15.5,7.125,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2022-05-20,15.1,9.3,18.9,0.0,,Overcast,Cloudy skies throughout the day.
2022-05-21,16.9,10.5,20.3,0.0,,Partially cloudy,Clearing in the afternoon.
2022-05-22,18.4,12.5,23.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-23,18.3,16.1,21.8,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-05-24,18.8,15.5,21.4,0.33,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2022-05-25,19.8,16.8,23.2,0.441,['rain'],"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.
2022-05-26,21.9,17.2,26.5,0.0,['rain'],Clear,Clear conditions throughout the day.
2022-05-27,21.8,18.9,24.8,0.154,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
2022-05-28,22.1,17.5,26.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-29,24.1,19.2,27.7,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-05-30,24.6,21.2,28.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-31,22.5,19.8,25.2,0.0,,Clear,Clear conditions throughout the day.
2022-06-01,22.1,18.2,25.4,0.0,,Clear,Clear conditions throughout the day.
2022-06-02,21.3,19.5,23.7,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-03,21.7,19.1,25.4,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-04,21.7,19.9,25.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-05,21.7,18.9,24.3,0.0,,Partially cloudy,Clearing in the afternoon.
2022-06-06,21.5,18.2,24.7,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-07,19.6,17.9,21.9,1.407,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-06-08,19.8,16.3,22.4,0.088,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2022-06-09,21.0,16.2,24.6,0.048,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2022-06-10,23.5,20.2,26.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-11,21.7,20.6,24.1,2.266,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-06-12,20.2,18.8,21.7,13.324,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-06-13,21.5,20.0,23.7,0.09,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-06-14,22.2,18.2,25.2,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-15,21.6,20.0,23.4,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-16,21.3,18.7,23.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-17,21.4,18.9,23.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-18,21.6,19.5,23.9,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-19,21.5,19.5,23.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-20,21.5,19.5,23.7,0.036,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2022-06-21,22.5,19.8,25.7,1.501,['rain'],"Rain, Partially cloudy",Clearing in the afternoon with morning rain.
2022-06-22,24.4,22.0,26.7,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-06-23,23.3,20.0,26.1,0.12,['rain'],"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
2022-06-24,22.8,18.1,25.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-25,23.2,20.7,26.1,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-26,22.5,19.5,25.2,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-06-27,22.8,19.0,26.7,0.104,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-06-28,23.0,20.7,24.8,10.254,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-06-29,22.8,20.8,25.1,2.499,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-06-30,23.0,20.3,25.5,0.0,,Partially cloudy,Clearing in the afternoon.
2022-07-01,23.9,20.7,26.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-07-02,24.3,21.7,26.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-07-03,23.8,21.5,26.8,0.0,,Clear,Clear conditions throughout the day.
2022-07-04,22.9,19.5,25.5,0.0,,Clear,Clear conditions throughout the day.
2022-07-05,23.4,20.3,26.3,0.0,,Clear,Clear conditions throughout the day.
2022-07-06,24.0,20.7,26.7,0.0,,Partially cloudy,Clearing in the afternoon.
2022-07-07,25.1,21.7,28.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-07-08,24.3,22.4,26.7,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-07-09,24.7,22.0,27.3,0.022,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2022-07-10,20.8,18.5,25.7,73.221,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-07-11,22.6,18.6,25.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-07-12,23.2,19.4,25.7,0.0,,Clear,Clear conditions throughout the day.
2022-07-13,23.3,19.2,26.3,0.06,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2022-07-14,23.6,18.5,26.7,0.0,,Clear,Clear conditions throughout the day.
2022-07-15,24.2,21.7,26.5,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-07-16,24.6,20.9,27.5,0.0,,Clear,Clear conditions throughout the day.
2022-07-17,25.2,22.0,28.3,0.0,,Clear,Clear conditions throughout the day.
2022-07-18,24.1,21.9,26.2,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-07-19,22.9,19.8,25.4,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-07-20,23.5,21.0,25.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-07-21,24.0,18.5,28.3,0.0,,Clear,Clear conditions throughout the day.
2022-07-22,24.3,19.5,26.8,0.0,,Clear,Clear conditions throughout the day.
2022-07-23,25.1,20.1,28.4,0.0,,Clear,Clear conditions throughout the day.
2022-07-24,25.4,20.7,27.8,0.0,,Clear,Clear conditions throughout the day.
2022-07-25,25.4,22.9,28.0,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-07-26,25.4,21.3,28.3,0.0,,Clear,Clear conditions throughout the day.
2022-07-27,25.7,20.7,28.4,0.0,,Clear,Clear conditions throughout the day.
